text,pred
sebastian na fanzone em sp amiga eu vou me matar,1
"meu cartomante ta de ferias, vou me matar",1
pra eu me matar ta facinho,0
lembrando aq quis me matar por ter aceitado isso,0
uai nao faz sentido isso ai se eu me matar cs vao fazer oq maluco,0
gente que dia de merda vou me matar,1
vou me matar amanha as 08:99,1
ele vai me matar,0
"vou adiar meu suicidio pra quando a melissa comecar a namorar, porque pqp guria enrolada",1
meudeus eu vou me matar de ansiedade,1
nao sei se queria me matar hoje ou se matar os fake guests,1
meu dia ja ta horrivel e ainda aparece conteudo da virginia na minha for you do tiktok..... e pra eu me matar de vez????,0
vou me matar hoje guys,1
pois eu queria me matar agora,1
gente eu fico meio suicida quando vejo essas coisas.... preciso de uma revolucao,0
"se eu nao namorar esse menino, saibam que vou me matar na frente dele",1
eu to me cocando inteira e o dia foi uma bosta na moral vou me matar hoje as 23h99,0
tentando entender se esse remedio ta me ajudando ou tentando me matar,0
"eu nao quero fazer o enem, nao quero provao paulista eu vou me matar",1
eu vou de verdade acabar cometendo suicidio,1
"e quando stranger things acabar, o que sera que vai me manter longe do suicidio?",0
vou me matar mt,1
incrivel como uma competicao na qual eu consegui fazer todas as minhas pedidas conseguiu ser minha pior experiencia em uma competicao na minha vida. sai de la com vontade de me matar.,0
se eu nao me matar ate o fim da semana que vem eu sou campeao,0
eu quero me matar. porque eu nao nasci rica e morando em sao paulo meu deus?,1
quer me matar? fala logo,0
so tem homem aqui eu quero me matar,1
fazendo bolo de chocolate porque nao posso me matar (minha mae nao ia achar legal),0
vou me matar na frente de vcs duas,1
ce quer me matar do coracao xwitter??? superturne no youtube,0
vou me matar na sua frente,1
bla bla bla bla vou me matar nao aguento mais bla bla bla,1
pra piorar toda a situacao a merda do carregador do notebook nao presta mais eu vou me matar,1
"que legal, quase nao sinto mais o gosto de comida, vou me matar",1
nao vou me matar pois achamos o filho da puta fugitivo,1
"nao faco ideia, ksksksk so sei que na biblia o ""nao mataras"" se aplica a toda vida, entao suicidio tambem e pecado.",1
vou me matar,1
se mamae falar mais uma vez da minha barriga eu vou me matar na frente dela,0
vou me matar,1
acho que eu to fedendo ptm vou me matar,1
nao vai ser o cigarro que vai me matar entao,0
assisti esse video 10 vezes e cheguei a conclusao que vou me matar na frente dele,0
por que todo final de periodo tem que ser tao caotico mds quero me matar,0
"ouvindo a ultima noite e lembrando disso, vou me matar",1
suicidio parece opcao,1
daria tudo no mundo pra voltar no passado e me da um soco ou so me matar,0
quero assistir hexatombe quero assistir superturne porem nao tenho tempo quero me matar,1
vou me matar hoje mesmo,1
"ai gente apareceu uma porra de furunculo na minha axila, eu to a ponto de me matar so pra acabar com a dor dessa merda",0
caralho o gato gactico foi de emo depressivo beirando o suicidio pra chad de macacao lobotomizador de crianca,1
"comeca logo essa porra, eu quero tomar banho e dormir pra nao me matar",1
me cago de medo toda vez que um banco me oferece seguro de vida tp quer me matar porra,0
mds eu nao sei manter conversa com conversante nem puxar assunto nem flertar quero me matar,0
meu jesus essa maddy vai me matar de vergonha alheia,0
"ue, teve suicidio coletivo de bolsonarista e ngm noticiou nada???",1
lembrei que o chosen jacobs tem uma musica pros losers vou me matar,1
"se eu me matar um dia, certeza que sera numa terca feira tudo de errado acontece na terca feira, que dia amaldicoado",0
kkkkkkkk fui ignorada pelo menino aiai vou me matar mesmo que e oque da,0
queria me matar,1
"eu nao to tendo tempo pra ler fanfic, vou me matar",1
"""ai vou me matar amanha"" ""nem fala essas coisas que a mae acredita amanha eu acordo com uns 20 audios no meu privado dela chorando"" nss gnt pesou mt minha consciencia",0
eu preciso de um emprego ou eu vou ter que me matar juro por deus,0
manoo eu vou me matar kk,1
fui ler fanfic pra me animar e essa porra me aparece eu vou me matar,1
eu perdi minha casa e tive que me matar,0
eu vo me matar a a culpa e totalmente da faculdade e do capitalismo,1
como pode eu um dia estar vivendo minha melhor vida e no outro querer me matar de tanta desgra acontecendo ao mesmo tempo,0
eu vou ter que me matar,1
me quebra mt as musicas da ala masculina do esquadrao suicida br e o clima de camaradas,0
eu vou me matar,1
"acabei de cair de cara no chao no meio do carmo, acho que posso me matar ja",0
e hoje que eu vou me matar,1
vou me matar,1
muito boa sua analogia agr eu vou ate a cozinha pegar uma faca e me matar,0
esse professor so fala de ia e esquece da materia completamente vou me matar,0
"suicidio do mbl, nao vao ter coeficiente eleitoral pras cadeiras.",0
mas porque vai ter suicidio em massa,0
prefiro suicidio do que joga com essa line,1
juro por deus que se ano que vem eu nao receber um decimo terceiro eu vou me matar,1
suicidio em massa? hoje tem jogo do gremio? nem sabia....,1
"o japao e aquele lugar que um rapaz matou sete na facada, outro duzentos com toxina e que tem mais suicidio do que homicidio p/c aqui?",0
a me matar? sim,0
"lula, amigo do maduro, combate o crime organizado??? vai cometer suicidio?",0
eu to com febre eu to triste todo mundo me viu chorando hj tudo deu errado eu quero morrer eu vou me matar,0
eu vou me matar de verdade eu queria tanto ver esse homem meu deus sou tao triste e miseravel,1
eu uso pra pesquisar sintomas vergonhosos tipo 3 dias sem cagar pode me matar,0
odeio ser perturbada da cabeca nesse nivel mds que vontade insalubre de me matar,1
cada vez que toca esse grelo na serie do tremembe eu quero me matar e estourar meu ouvido,0
lembrei agora do sonho que eu tive essa tarde vou me matar,0
coloquem a branquela da mckenna e eu cometo suicidio,1
primeira vez que eu tangenciei o tema de uma redacao igual um asno sfd vou me matar antes do domingo,0
infelizmente vou ser obrigado a tomar 50 comprimidos de levocetirizina e me matar vai ser o unico jeito de eu parar de espirrar pqp,0
"eu lendo a cena mais triste de toda a saga escutando duas musicas uma sobre ser crianca, como nunca mais serao assim e a outra sobre ser inocente e infantil, vilao e violento (nao tenho medo de voce agora). vou me matar, e isso desabafei",0
que dor de cabeca eu vou me matar,1
indo ali me matar,1
eu vou me matar,1
vou me matar na frente da vila belmiro,1
eu vou me matar,1
quero me matar so isso,1
eu vou te cancelar por mandar eu me matar seu maligno safado,1
vou me matar,1
estou para me matar a tiros,0
eu vou me matar na frente deles,1
hugo moura... vou me matar na frente do diniz.,1
o parceiro passou uns 5 minutos dando mo cocadona no cu e depois passou a mao na professora meu deus eu quero me matar .,0
sinto que iam me matar por isso nao faco mas as vezes queria fazer o mesmo que o,0
eu quero me matar,1
kkkkkkkk minha nutri vai me matar preguicaaaaaa,0
vou me matar,1
vou me matar nessa porra,1
vo me matar,1
gente eu vou me matar e a culpa vai ser do meu tcc,0
nove da noite o nicolas me dando o fecho do dia pqp vou me matar na frente dele viado salafrario,0
vou me matar obrigado pelas substituicoes genial junior,1
estava prestes a me matar mas mainha chegou cantando pagode de la debaixo ate aqui em cima,0
nao acho a foto pra colocar no toploader vou me matar,0
eu queria uma skin lendaria no lol mas se eu falar que vao me matar vao e incentivar nao impedir,1
eu acho que vou me matar,1
eu vou me matar,1
ela me trouxe de volta depois de me matar,0
o vasco vai me matar cara .... tnc!,0
eu vou me matar,1
"serio, hoje foi pessimo, chorei tanto, minha mae ta literalmente falando: ou voce come bem ou voce vai tomar suplemento its over pra mim eu so vou ficar mais gorda ainda porra o suicidio vindo",0
olha o angileri na marcacao do cara pqp quero me matar time maldito,0
"me matar nao adianta mais, eu preciso d algo que apague mnh existencia por completo",0
"e a quinta vez que to vendo tapas e beijos e sempre que chega na parte da flavinha e jorge eu tenho vontade de me matar, estragaram a 4 temporada",0
e claro pode me matar que ta tudo certo eu te perdoo por me privar da vida com meus amigos e com meus filhos e tudo mais que poderia viver caralho foda-se irmao,0
eu acho que todos me odeiam e eu devo desaparecer me matar imediatamente porque minha presenca e incomoda.,0
eu vou me matar,1
eu vou me matar hoje,1
vou me matar irmao,1
eu vou me matar corinthians,1
vou me matar,1
que vontade de me matar,1
eu vou me matar,1
"minha colica ate aumentou, nossa que morte horrivel. o vasco realmente quer me matar de todos os jeitos",0
"em 2013 a cartomante previu que ia nascer um menino dentro da minha casa, sendo que nem minha tia nem minha mae tinham idade pra ter mais filhos (ou queriam). corta pro suicidio do meu primo no ano seguinte e a fiv da minha tia em 2015, aos 53 anos. arthur nasceu e hoje tem 9 anos",0
eu vou me matar,1
vou me matar na frente do elenco do corinthians,0
vou me matar. o culpado e a porra do corinthians.,1
so queria que esse salario caisse to pra me matar ja viu,1
vai se fuder vou me matar,0
eubcou me matar e a culpa e da porra corinthians,0
quem quiser me matar a tiros amanha eu estarei no cinema do shopping tijuca,0
serio eu ainda vou cometer suicidio por conta do sport club internacional,1
